className,totalAuthoredCommits,normalizedCommitExp,gold
u,1366,1.0806962025316456,0.0
u,5088,4.025316455696203,0.0
u,61,0.048259493670886076,0.0
u,1,0.0007911392405063292,0.0
u,1,0.0007911392405063292,0.0
u,61,0.048259493670886076,0.0
u,61,0.048259493670886076,0.0
u,972,0.7689873417721519,0.0
u,1,0.0007911392405063292,-1.0
u,61,0.048259493670886076,0.0
u,61,0.048259493670886076,-1.0
u,220,0.1740506329113924,0.0
u,220,0.1740506329113924,1.0
u,1,0.0007911392405063292,0.0
u,1,0.0007911392405063292,0.0
u,1,0.0007911392405063292,-1.0
u,972,0.7689873417721519,0.0
u,972,0.7689873417721519,0.0
u,972,0.7689873417721519,0.0
u,972,0.7689873417721519,-1.0
u,5088,4.025316455696203,0.0
u,5088,4.025316455696203,0.0
u,5088,4.025316455696203,0.0
u,3713,2.9375,0.0
u,3713,2.9375,0.0
u,363,0.2871835443037975,0.0
u,3713,2.9375,1.0
u,3713,2.9375,0.0
u,363,0.2871835443037975,0.0
u,3713,2.9375,0.0
u,363,0.2871835443037975,1.0
u,3713,2.9375,0.0
u,363,0.2871835443037975,0.0
u,363,0.2871835443037975,0.0
u,363,0.2871835443037975,0.0
u,363,0.2871835443037975,1.0
u,67,0.053006329113924056,0.0
u,67,0.053006329113924056,-1.0
u,260,0.20569620253164558,0.0
u,260,0.20569620253164558,0.0
u,260,0.20569620253164558,0.0
u,1422,1.125,0.0
u,1112,0.879746835443038,0.0
u,0,0.0,0.0
u,3713,2.9375,0.0
u,3713,2.9375,0.0
u,3713,2.9375,0.0
u,3713,2.9375,0.0
u,3713,2.9375,0.0
u,3713,2.9375,0.0
u,220,0.1740506329113924,0.0
u,220,0.1740506329113924,0.0
u,220,0.1740506329113924,0.0
u,884,0.6993670886075949,0.0
u,220,0.1740506329113924,0.0
u,220,0.1740506329113924,0.0
u,1204,0.9525316455696202,-1.0
u,2154,1.704113924050633,0.0
u,1366,1.0806962025316456,0.0
u,201,0.15901898734177214,-1.0
u,201,0.15901898734177214,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,-1.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,1.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,1,0.013991884706870015,0.0
u,283,3.959703372044214,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,283,3.959703372044214,1.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,1.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,0,0.0,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,283,3.959703372044214,0.0
u,283,3.959703372044214,0.0
u,580,8.11529312998461,1.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,0,0.0,0.0
u,283,3.959703372044214,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,94,1.3152371624457815,0.0
u,94,1.3152371624457815,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,14,0.1958863858961802,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,94,1.3152371624457815,-1.0
u,94,1.3152371624457815,0.0
u,94,1.3152371624457815,0.0
u,94,1.3152371624457815,0.0
u,94,1.3152371624457815,0.0
u,94,1.3152371624457815,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,-1.0
u,580,8.11529312998461,-1.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,0,0.0,1.0
u,580,8.11529312998461,-1.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,152,2.1267664754442426,1.0
u,152,2.1267664754442426,1.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,580,8.11529312998461,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,6,0.015471493772723758,-1.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,6,0.015471493772723758,0.0
u,2,0.005157164590907919,-1.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,8,0.020628658363631674,0.0
u,8,0.020628658363631674,1.0
u,8,0.020628658363631674,0.0
u,8,0.020628658363631674,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,8,0.020628658363631674,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,285,0.7348959542043785,0.0
u,0,0.0,1.0
u,2,0.005157164590907919,1.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,-1.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,1.0
u,8,0.020628658363631674,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,8,0.020628658363631674,0.0
u,8,0.020628658363631674,0.0
u,8,0.020628658363631674,0.0
u,2,0.005157164590907919,0.0
u,1,0.0025785822954539593,-1.0
u,8,0.020628658363631674,1.0
u,31,0.07993605115907274,0.0
u,2,0.005157164590907919,0.0
u,31,0.07993605115907274,0.0
u,8,0.020628658363631674,0.0
u,2,0.005157164590907919,0.0
u,8,0.020628658363631674,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,0,0.0,1.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,2,0.005157164590907919,0.0
u,31,0.07993605115907274,0.0
u,2,0.005157164590907919,0.0
u,31,0.07993605115907274,0.0
u,0,0.0,0.0
u,8,0.020628658363631674,0.0
u,8,0.020628658363631674,0.0
u,8,0.020628658363631674,0.0
u,8,0.020628658363631674,0.0
u,16,0.04125731672726335,0.0
u,16,0.04125731672726335,-1.0
u,16,0.04125731672726335,0.0
u,16,0.04125731672726335,0.0
u,16,0.04125731672726335,0.0
u,16,0.04125731672726335,0.0
u,1061,2.7358758154766507,0.0
u,16,0.04125731672726335,0.0
u,7,0.01965739960685201,1.0
u,1712,4.8076383038472335,0.0
u,1712,4.8076383038472335,0.0
u,189,0.5307497893850042,0.0
u,2103,5.90564448188711,0.0
u,180,0.5054759898904801,0.0
u,39,0.10951979780960404,0.0
u,39,0.10951979780960404,0.0
u,0,0.0,0.0
u,0,0.0,1.0
u,7,0.01965739960685201,0.0
u,1712,4.8076383038472335,0.0
u,1712,4.8076383038472335,1.0
u,1712,4.8076383038472335,0.0
u,1212,3.403538331929233,0.0
u,0,0.0,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,0.0
u,1712,4.8076383038472335,0.0
u,7,0.01965739960685201,0.0
u,189,0.5307497893850042,0.0
u,0,0.0,0.0
u,7,0.01965739960685201,0.0
u,789,2.215669755686605,0.0
u,1712,4.8076383038472335,1.0
u,789,2.215669755686605,0.0
u,789,2.215669755686605,0.0
u,1712,4.8076383038472335,0.0
u,1712,4.8076383038472335,0.0
u,789,2.215669755686605,0.0
u,1712,4.8076383038472335,0.0
u,249,0.6992417860151643,-1.0
u,1712,4.8076383038472335,-1.0
u,1712,4.8076383038472335,-1.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,249,0.6992417860151643,-1.0
u,249,0.6992417860151643,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,0.0
u,1712,4.8076383038472335,0.0
u,789,2.215669755686605,0.0
u,7,0.01965739960685201,1.0
u,7,0.01965739960685201,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,7,0.01965739960685201,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,1712,4.8076383038472335,0.0
u,1288,3.6169615276607696,0.0
u,0,0.0,1.0
u,0,0.0,0.0
u,10,0.02808199943836001,0.0
u,2103,5.90564448188711,0.0
u,2103,5.90564448188711,0.0
u,0,0.0,1.0
u,2103,5.90564448188711,0.0
u,140,0.39314799213704016,0.0
u,0,0.0,0.0
u,2103,5.90564448188711,0.0
u,1712,4.8076383038472335,0.0
u,1,0.002808199943836001,-1.0
u,1,0.002808199943836001,0.0
u,0,0.0,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,140,0.39314799213704016,0.0
u,140,0.39314799213704016,-1.0
u,140,0.39314799213704016,0.0
u,0,0.0,0.0
u,140,0.39314799213704016,0.0
u,1288,3.6169615276607696,0.0
u,0,0.0,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,7,0.01965739960685201,1.0
u,7,0.01965739960685201,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,2103,5.90564448188711,0.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,0.0
u,7,0.01965739960685201,1.0
u,1288,3.6169615276607696,0.0
u,1712,4.8076383038472335,-1.0
u,140,0.39314799213704016,1.0
u,1288,3.6169615276607696,0.0
u,1288,3.6169615276607696,-1.0
u,276,0.7750631844987363,0.0
u,276,0.7750631844987363,0.0
u,2103,5.90564448188711,0.0
u,2103,5.90564448188711,0.0
u,2103,5.90564448188711,0.0
u,789,2.215669755686605,0.0
u,789,2.215669755686605,0.0
u,789,2.215669755686605,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,1668,22.266720064076893,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,1668,22.266720064076893,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,799,10.66613269256441,-1.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,1.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,1.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,124,1.6553197169937257,0.0
u,124,1.6553197169937257,0.0
u,799,10.66613269256441,0.0
u,1668,22.266720064076893,0.0
u,70,0.934454678948071,0.0
u,799,10.66613269256441,0.0
u,0,0.0,0.0
u,799,10.66613269256441,-1.0
u,85,1.1346949672940863,0.0
u,85,1.1346949672940863,0.0
u,85,1.1346949672940863,0.0
u,85,1.1346949672940863,0.0
u,85,1.1346949672940863,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,70,0.934454678948071,0.0
u,70,0.934454678948071,0.0
u,0,0.0,0.0
u,85,1.1346949672940863,0.0
u,70,0.934454678948071,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,1156,15.431851555199572,0.0
u,1668,22.266720064076893,0.0
u,85,1.1346949672940863,0.0
u,1156,15.431851555199572,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,85,1.1346949672940863,0.0
u,85,1.1346949672940863,0.0
u,85,1.1346949672940863,0.0
u,4,0.053397410225604056,0.0
u,4,0.053397410225604056,0.0
u,4,0.053397410225604056,0.0
u,85,1.1346949672940863,0.0
u,85,1.1346949672940863,0.0
u,0,0.0,0.0
u,1668,22.266720064076893,0.0
u,1156,15.431851555199572,0.0
u,85,1.1346949672940863,0.0
u,8,0.10679482045120811,0.0
u,1156,15.431851555199572,0.0
u,8,0.10679482045120811,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,799,10.66613269256441,0.0
u,0,0.0,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,799,10.66613269256441,0.0
u,85,1.1346949672940863,0.0
u,799,10.66613269256441,0.0
u,124,1.6553197169937257,0.0
u,85,1.1346949672940863,0.0
u,0,0.0,1.0
u,124,1.6553197169937257,0.0
u,124,1.6553197169937257,0.0
u,8,0.10679482045120811,0.0
u,1156,15.431851555199572,0.0
u,85,1.1346949672940863,0.0
u,1668,22.266720064076893,0.0
u,0,0.0,0.0
u,8,0.10679482045120811,0.0
u,8,0.10679482045120811,0.0
u,8,0.10679482045120811,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,1668,22.266720064076893,0.0
u,124,5.70902394106814,0.0
u,124,5.70902394106814,1.0
u,124,5.70902394106814,1.0
u,124,5.70902394106814,0.0
u,124,5.70902394106814,0.0
u,124,5.70902394106814,1.0
u,124,5.70902394106814,1.0
u,124,5.70902394106814,0.0
u,124,5.70902394106814,1.0
u,124,5.70902394106814,0.0
u,0,0.0,0.0
u,124,5.70902394106814,0.0
u,124,5.70902394106814,0.0
u,124,5.70902394106814,1.0
u,124,5.70902394106814,1.0
u,124,5.70902394106814,1.0
u,124,5.70902394106814,0.0
u,0,0.0,0.0
u,0,0.0,0.0
u,124,5.70902394106814,0.0
u,124,5.70902394106814,0.0
